"TID","EN","FR","DE","ES","IT","NL","NO","PT","TR","JP","CN"
"TID_ERROR_POP_UP_CONNECTION_FAILED","Unable to connect with the server. Check your internet connection and try again.","Connexion au serveur impossible. Veuillez vérifier votre connexion Internet et réessayer.","Verbindung mit dem Server nicht möglich. Überprüfe deine Internetverbindung und versuche es erneut.","No se ha podido conectar con el servidor. Revisa la conexión a internet y vuelve a intentarlo.","Non è stato possibile connettersi al server. Controlla la connessione a Internet e riprova.","Geen verbinding mogelijk met de server. Controleer je internetverbinding en probeer het nog eens.","Oppnår ikke kontakt med serveren. Kontroller Internettforbindelsen og prøv igjen.","Não foi possível conectar com o servidor. Verifique sua conexão de internet e tente novamente.","Sunucuya bağlanılamıyor. Internet bağlantını kontrol et ve tekrar dene.","サーバーに接続できません。\nインターネット接続を確認して\nもう一度お試しください。","无法连接至服务器。请检查您的网络连接后再次连接。"
"TID_ERROR_POP_UP_CONNECTION_FAILED_BUTTON","Try again","Réessayer","Erneut versuchen","Reintentar","Riprova","Probeer nogmaals","Prøv igjen","Tente novamente","Tekrar dene","もう一度試す","请重试"
"TID_ERROR_POP_UP_CONNECTION_LOST_TITLE","Connection lost","Connexion perdue","Verbindung verloren","Conexión perdida","Connessione persa","Verbinding verbroken","Forbindelse brutt","Conexão perdida","Bağlantı koptu","接続が切断されました","连接中断"
"TID_ERROR_POP_UP_CONNECTION_LOST","You have lost connection with the server. Check your internet connection and try again.","Connexion au serveur perdue. Veuillez vérifier votre connexion Internet et réessayer.","Du hast die Verbindung mit dem Server verloren. Überprüfe deine Internetverbindung und versuche es erneut.","Se ha perdido la conexión con el servidor. Revisa la conexión a internet y vuelve a intentarlo.","La connessione al server è stata persa. Controlla la connessione a Internet e riprova.","De verbinding met de server is verbroken. Controleer je internetverbinding en probeer het nog eens.","Du har mistet forbindelsen med serveren. Kontroller Internettforbindelsen og prøv igjen.","Conexão perdida com o servidor. Verifique sua conexão de internet e tente novamente.","Sunucu bağlantın koptu. Internet bağlantını kontrol et ve tekrar dene.","サーバーとの接続が\n切断されました。\nインターネット接続を確認して\nもう一度お試しください。","与服务器失去连接，请查看您的网络连接后再次连接。"
"TID_ERROR_POP_UP_CONNECTION_LOST_BUTTON","Try again","Réessayer","Erneut versuchen","Reintentar","Riprova","Probeer nogmaals","Prøv igjen","Tente novamente","Tekrar dene","もう一度試す","请重试"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_TITLE","Anyone there?","Il y a quelqu'un ?","Jemand da?","¿Hay alguien?","C´è nessuno?","Is daar iemand?","Noen der?","Tem alguém aí?","Kimse var mı?","もしもーし？","有人吗？"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED","Click the button below to reload the game.","Cliquez sur le bouton ci-dessous pour relancer le jeu.","Klicke auf den Button unten, um das Spiel neu zu laden.","Haz clic en el icono para volver a cargar.","Fai click sul pulsante qui sotto per ricaricare il gioco.","Klik op onderstaande knop om het spel opnieuw te laden.","Klikk på knappen under for å starte spillet på nytt.","Clique no botão abaixo para recarregar o jogo.","Oyunu tekrar yüklemek için aşağıdaki düğmeyi tıklat.","下のボタンを押して\nゲームをリロードしてください。","点击下面的按钮重新载入游戏。"
"TID_ERROR_POP_UP_AUTO_DISCONNECTED_BUTTON","Reload game","Relancer le jeu","Spiel neu laden","Volver a cargar","Ricarica gioco","Spel herladen","Omstart spill","Recarregar o jogo","Oyunu t. yükle","ゲームをリロード","重新载入游戏"
"TID_ERROR_POP_UP_LOGIN_FAILED_TITLE","Login failed","Échec de l'identification","Anmeldung fehlgeschlagen","Fallo al conectar","Accesso non riuscito","Inloggen is mislukt","Pålogging mislyktes","Falha no login","Oturum açılamadı","ログイン失敗","登录失败"
"TID_ERROR_POP_UP_LOGIN_FAILED","Please try again later.","Veuillez réessayer plus tard.","Bitte versuche es später erneut.","Inténtalo de nuevo más tarde.","Riprova più tardi.","Probeer het later nog eens.","Prøv igjen senere.","Por favor, tente novamente mais tarde.","Lütfen daha sonra tekrar dene.","あとでまたお試しください。","请稍后重试。"
"TID_ERROR_POP_UP_LOGIN_FAILED_BUTTON","Try again","Réessayer","Erneut versuchen","Reintentar","Riprova","Probeer nogmaals","Prøv igjen","Tente novamente","Tekrar dene","もう一度試す","请重试"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_TITLE","Update is available!","Une mise à jour est disponible !","Update verfügbar!","¡Actualización disponible!","È disponibile un aggiornamento!","Er is een update beschikbaar!","Oppdatering er tilgjengelig!","Atualização disponível!","Güncelleme var!","ゲームのアップデートを\nダウンロードできます！","获取更新！"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION","Good news! A new version of the game is available.","Bonne nouvelle ! Une nouvelle version du jeu est disponible.","Gute Nachrichten! Eine neue Version des Spiels ist verfügbar.","¡Buenas noticias! Hay disponible una nueva versión del juego.","Buone notizie! È disponibile una nuova versione del gioco.","Goed nieuws! Er is een nieuwe versie van het spel beschikbaar.","Gode nyheter! En ny versjon av spillet er tilgjengelig.","Boas notícias! Uma nova versão do jogo está disponível.","İyi haber! Oyunun yeni bir sürümü var.","ゲームの新しいバージョンを\nダウンロードできます！","好消息！现在可以免费下载新版本了。"
"TID_ERROR_POP_UP_WRONG_CLIENT_VERSION_BUTTON","Update","Mettre à jour","Update","Actualizar","Aggiornamento","Bijwerken","Oppdater","Atualizar","Güncelle","アップデート","更新"
"TID_ERROR_POP_UP_OUT_OF_SYNC_TITLE","Error!","Erreur !","Fehler!","¡Error!","Errore!","Fout opgetreden!","Feil!","Erro!","Hata!","エラー発生！","错误！"
"TID_ERROR_POP_UP_OUT_OF_SYNC","Client and server are out of sync!","Le client et le serveur ne sont pas synchronisés !","Client und Server sind nicht synchron!","¡El cliente y el servidor no están sincronizados!","Il client e il server non sono sincronizzati!","Software en server lopen niet synchroon!","Klient og server er ikke synkronisert!","Cliente e servidor estão fora de sincronia!","İstemci ve sunucu uyumlu değil!","クライアントとサーバーの同期がとれていません！","客户端和服务器不同步！"
"TID_ERROR_POP_UP_OUT_OF_SYNC_BUTTON","Reload game","Relancer le jeu","Spiel neu laden","Volver a cargar","Ricarica gioco","Spel herladen","Omstart spill","Recarregar jogo","Oyunu t. yükle","ゲームをリロード","重新载入游戏"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_TITLE","Maintenance break","Maintenance","Wartung","Pausa de mantenimiento","Manutenzione in corso","Onderhoud","Vedlikeholdspause","Intervalo de manutenção","Bakım arası","メンテナンス中","系统维护中"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE","Sorry, the servers are under maintenance. Please try again later.","Désolé, les serveurs sont en cours de maintenance. Veuillez réessayer plus tard.","Tut uns leid, die Server werden gewartet. Bitte versuche es später erneut.","Lo sentimos, los servidores están en mantenimiento. Inténtalo de nuevo más tarde.","Siamo spiacenti, i server sono in manutenzione. Riprova più tardi.","Sorry, er wordt momenteel gewerkt aan de servers. Probeer het later nog eens.","Beklager, serverne vedlikeholdes. Prøv igjen senere.","Desculpe, os servidores estão em manutenção. Por favor, tente novamente mais tarde.","Üzgünüz, şu anda sunuculara bakım yapılıyor. Lütfen daha sonra tekrar dene.","申し訳ございませんが、ゲームのサーバーはメンテナンス中です。あとでまたお試しください。","抱歉，服务器正在维护中。请稍后重试。"
"TID_ERROR_POP_UP_SERVER_MAINTENANCE_BUTTON","Try again","Réessayer","Erneut versuchen","Reintentar","Riprova","Probeer nogmaals","Prøv igjen","Tente novamente","Tekrar dene","もう一度試す","请重试"
"TID_BUILDING_ALLIANCE_CASTLE","Clan Castle","Château de clan","Clanburg","Castillo del clan","Castello del clan","Clankasteel","Klanslott","Castelo do Clã","Klan Kalesi","クランの城","部落城堡"
"TID_BUILDING_ALLIANCE_MARKER","Clan Flag","Drapeau de clan","Clanflagge","Bandera del clan","Bandiera del clan","Clanvlag","Klanflagg","Bandeira do Clã","Klan Bayrağı","クランの旗","部落旗帜"
"TID_COMM_MAST","Radio Tower","Tour de radiodiffusion","Funkturm","Torre de la radio","Torre radio","Radiotoren","Radiotårn","Torre de Rádio","Radyo Kulesi","無線塔","无线电塔"
"TID_TRAP_MINE","Bomb","Bombe","Bombe","Bomba","Bomba","Bom","Bombe","Bomba","Bomba","爆弾","隐形炸弹"
"TID_TRAP_EJECTOR","Spring Trap","Piège à ressort","Tellereisen","Trampa de salto","Trappola a scatto","Veerval","Katapult-felle","Armadilha de Mola","Yaylı Tuzak","ばねトラップ","隐形弹簧"
"TID_SHOP_SHIELD_1D","One Day Shield","Bouclier d'un jour","1-Tag-Schild","Escudo de un día","Scudo per un giorno","1-dag schild","Skjold én dag","Escudo de Um Dia","Bir Günlük Kalkan","シールド (1日)","一天护盾"
"TID_SHOP_SHIELD_2D","Two Day Shield","Bouclier de deux jours","2-Tage-Schild","Escudo de dos días","Scudo per due giorni","2-dagen schild","Skjold to dager","Escudo de Dois Dias","İki Günlük Kalkan","シールド (2日)","两天护盾"
"TID_SHOP_SHIELD_7D","One Week Shield","Bouclier d'une semaine","1-Woche-Schild","Escudo de una semana","Scudo per una settimana","1 week-schild","Skjold én uke","Escudo de Uma Semana","Bir Haftalık Kalkan","シールド (1週間)","一周护盾"
"TID_ALLIANCE_MAIN_BUTTON","Clan","Clan","Clan","Clan","Clan","Clan","Klan","Clã","Klan","クラン","部落"
"TID_ALLIANCE_LIST_HEADER","Clan","Clan","Clan","Clan","Clan","Clan","Klan","Clã","Klan","クラン","部落"
"TID_CREATE_ALLIANCE_BUTTON","Create","Créer","Erstellen","Crear","Crea","Creëren","Lag","Criar","Oluştur","作成","创建"
"TID_LEAVE_ALLIANCE_BUTTON","Leave","Quitter","Verlassen","Dejar","Abbandona","Verlaten","Forlat","Deixar","Ayrıl","脱退","退出"
"TID_JOIN_ALLIANCE_TAB","Join Clan","Rejoindre le clan","Clan beitreten","Unirse al clan","Unisciti al Clan","Bij clan voegen","Delta i klan","Juntar-se ao Clã","Klana Katıl","クランに参加","加入部落"
"TID_CREATE_ALLIANCE_TAB","Create Clan","Créer un clan","Clan erstellen","Crear clan","Crea Clan","Clan opzetten","Lag klan","Criar Clã","Klan Oluştur","クランを作成","创建部落"
"TID_MY_ALLIANCE_TAB","My Clan","Mon clan","Mein Clan","Mi clan","Il mio Clan","Mijn clan","Min klan","Meu Clã","Klanım","マイ クラン","我的部落"
"TID_ALLIANCE_BUTTON_EDIT","Edit","Modifier","Bearbeiten","Editar","Modifica","Bewerken","Rediger","Editar","Düzenle","編集","编辑"
"TID_ALLIANCE_CREATE_NAME","Clan Name:","Nom du clan :","Clanname:","Nombre del clan:","Nome clan:","Clannaam:","Klannavn:","Nome do Clã:","Klan Adı:","クラン名：","部落名称："
"TID_ALLIANCE_CREATE_DESCRIPTION","Description:","Description :","Beschreibung:","Descripción:","Descrizione:","Beschrijving:","Beskrivelse:","Descrição:","Açıklama:","説明：","描述："
"TID_ALLIANCE_CREATE_BADGE","Symbol:","Symbole :","Symbol:","Símbolo:","Simbolo:","Symbool:","Symbol:","Símbolo:","Simge:","シンボル：","标志："
"TID_ALLIANCE_CREATE_TYPE","Clan Type:","Type de clan :","Clanart:","Tipo de clan:","Tipo di Clan:","Clantype:","Klantype:","Tipo de Clã:","Klan Türü:","クランのタイプ：","部落类型："
"TID_ALLIANCE_BADGE_BROWSE","Browse","Parcourir","Durchsuchen","Buscar","Naviga","Doorzoeken","Søk","Procurar","Gözat","見る","浏览"
"TID_ALLIANCE_TYPE_OPEN","Anyone can join","Ouvert","Offen für alle","Todos pueden unirse","Tutti possono unirsi","Open voor iedereen","Alle kan delta","Todos podem aderir","Herkes katılabilir","誰でも参加可能","任何人都可加入"
"TID_ALLIANCE_TYPE_INVITE_ONLY","Invite only","Sur invitation","Nur auf Einladung","Solo con invitación","Solo su invito","Alleen op uitnodiging","Bare inviter","Somente convidados","Yalnızca davet","招待のみ","只有被批准才能加入"
"TID_ALLIANCE_TYPE_CLOSED","Closed","Fermé","Geschlossen","Cerrado","Chiuso","Gesloten","Lukket","Fechado","Kapalı","参加不可","不可加入"
"TID_TOO_SHORT_ALLIANCE_NAME","Clan name is too short!","Le nom du clan est trop petit !","Clanname ist zu kurz!","¡Nombre muy corto para el clan!","Il nome del clan è troppo corto!","Clannaam is te kort!","Klannavnet er for kort!","Nome do Clã é muito curto!","Klan adı çok kısa!","クラン名が短すぎます！","部落名称太短了！"
"TID_BACK_BUTTON","Back","Retour","Zurück","Atrás","Indietro","Terug","Tilbake","Voltar","Geri","戻る","返回"
"TID_ALLIANCE_SELECT_BADGE","Select Clan Symbol","Choisissez le symbole du clan","Clansymbol auswählen","Seleccionar símbolo del clan","Seleziona simbolo del clan","Kies een clansymbool","Velg klansymbol","Selecione Símbolo do Clã","Klan Simgesi seç","クランのシンボルを選んでください","选择部落标志"
"TID_ALLIANCE_JOIN_BUTTON","Join","Rejoindre","Beitreten","Unirse","Unisciti","Meedoen","Delta","Juntar","Katıl","参加","加入"
"TID_ALLIANCE_JOIN_OK","You are now a member of clan <name>!","Vous faites désormais partie du clan <name> !","Du bist jetzt Mitglied von Clan <name>!","¡Ahora eres miembro del clan <name>!","Ora fai parte del clan <name>!","Je bent nu lid van clan <name>!","Du er nå et medlem i <name>-klanen!","Agora você é um membro do clã <name>!","Artık <name> klanının üyesisin!","クラン「<name>」に参加しました！","现在您是<name>部落的一员了！"
"TID_ALLIANCE_CREATE_OK","You have successfully founded a new clan!","La création de votre clan a réussi !","Du hast erfolgreich einen neuen Clan gegründet!","¡Has fundado con éxito un nuevo clan!","Hai fondato un nuovo clan!","Je hebt een nieuwe clan opgezet!","Du har med hell grunnlagt en ny klan!","Você fundou um novo clã com sucesso!","Başarıyla yeni bir klan kurdun!","新しいクランを結成しました！","您成功创建了一个新的部落！"
"TID_ALLIANCE_BUTTON_LEAVE","Leave","Quitter","Verlassen","Dejar","Abbandona","Verlaten","Forlat","Abandonar","Ayrıl","脱退","退出"
"TID_ALLIANCE_LEAVE_CONFIRMATION_TITLE","Leave Clan?","Quitter le clan ?","Clan verlassen?","¿Dejar clan?","Abbandonare il clan?","Clan verlaten?","Forlate klanen?","Abandonar o Clã?","Klandan ayrıl?","脱退しますか？","退出部落吗？"
"TID_ALLIANCE_LEAVE_CONFIRMATION","Do you really want to leave?","Voulez-vous vraiment quitter le clan ?","Möchtest du wirklich gehen?","¿Seguro que quieres salir?","Vuoi veramente andartene?","Wil je de clan echt verlaten?","Vil du virkelig forlate?","Você realmente quer ir embora?","Gerçekten ayrılmak istiyor musun?","本当にクランから脱退しますか？","您确定要退出部落吗？"
"TID_ALLIANCE_ROLE_ADMIN","Clan Elder","Aîné du clan","Clanältester","Anciano del clan","Anziano del clan","Clanoudste","Klansenior","Ancião do Clã","Klan Büyüğü","長老","部落长老"
"TID_ALLIANCE_ROLE_LEADER","Clan Leader","Chef du clan","Clanführer","Líder del clan","Capoclan","Clanleider","Klanleder","Líder do Clã","Klan Lideri","リーダー","部落首领"
"TID_ALLIANCE_ROLE_MEMBER","Clan Member","Membre du clan","Clanmitglied","Miembro del clan","Membro del clan","Clanlid","Klanmedlem","Membro do Clã","Klan Üyesi","メンバー","部落成员"
